"DAT_OCR";"NUM_PLACA";"NUM_VELOCIDADE";"COD_LATITUDE";"COD_LONGITUDE";"LOCEQUIP"
23/07/23;"OXP3319";21;"-22.9016666700";"-43.1805555600";"AVENIDA PRESIDENTE VARGAS PROXIMO AO Nº 534 - SENTIDO PRACA DA BANDEIRA - FX 2 PISTA CENTRAL"
23/07/23;"YYL0124";28;"-22.9270489000";"-43.5722583333";"ESTRADA DO MONTEIRO PROXIMO A RUA ESCULAPIO - SENTIDO BARRA - FX 2"
23/07/23;"KRX9511";16;"-22.9362511000";"-43.3329580556";"ESTRADA DOS TRES RIOS PROXIMO AO Nº 1173 - SENTIDO LINHA AMARELA - FX 1"
23/07/23;"NWM9853";42;"000.000000000";"000.0000000000";"RUA BENTO CARDOSO PROXIMO AO Nº 141 - SENTIDO UNICO - FX 3"
23/07/23;"LWI8B44";5;"-22.8036111000";"-43.2022222222";"ESTRADA DO GALEAO PROXIMO AO Nº 1950 - SENTIDO LINHA VERMELHA - FX 2"
23/07/23;"LTI4134";49;"-22.9061111000";"-43.6844444444";"AVENIDA PADRE GUILHERME DECAMINADA PROXIMO AO Nº 420 - SENTIDO GUARATIBA - FX 1"
23/07/23;"PUH0351";25;"-22.9997619000";"-43.3536650000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 4200 - SENTIDO SANTA CRUZ - FX 2 PISTA LATERAL"
23/07/23;"KZE1846";136;"-23.0000000000";"-43.3747222222";"AVENIDA DAS AMERICAS PROXIMO AO Nº 6101 - SENTIDO SANTA CRUZ - FX 2 PISTA CENTRAL"
23/07/23;"KWF6450";18;"-22.8803731000";"-43.4737069444";"RUA DA FEIRA PROXIMO AO Nº 748 - SENTIDO REALENGO - FX 1"
23/07/23;"HGR3153";21;"-22.8701569444";"-43.5545261111";"ESTRADA DO MENDANHA PROXIMO AO Nº 1299 - SENTIDO ESTRADA DO GUANDU - FX 2"
23/07/23;"KXY5194";15;"-23.0247222000";"-43.4566666667";"AVENIDA LUCIO COSTA PROXIMO AO Nº 16400 - SENTIDO PONTAL - FX 1"
23/07/23;"RXQ7C64";19;"-22.9360381000";"-43.3520880556";"AVENIDA GEREMARIO DANTAS PROXIMO AO Nº 1052 - SENTIDO ESTRADA DE JACAREPAGUA - FX 1"
23/07/23;"KYB9Z49";24;"-22.9172611000";"-43.3888991667";"AVENIDA DOS MANANCIAIS PROXIMO AO Nº 1132 - SENTIDO ESTRADA DO RIO GRANDE - FX 1"
23/07/23;"KRH4D41";38;"-22.8091667000";"-43.2083333333";"RUA CAMBAUBA PROXIMO AO Nº 448 - SENTIDO ESTRADA DO GALEAO - FX 1"
23/07/23;"OQI6O62";30;"-22.9450100000";"-43.3359313889";"RUA ITUVERAVA PROXIMO AO Nº 479 - SENTIDO JACAREPAGUA - FX 1"
23/07/23;"KQP0581";35;"-22.9054317000";"-43.5779227778";"RUA CAMPO GRANDE PROXIMO AO Nº 2920 - SENTIDO PACIENCIA - FX 1"
23/07/23;"RKL9157";29;"-22.9054317000";"-43.5779227778";"RUA CAMPO GRANDE PROXIMO AO Nº 2920 - SENTIDO SANTISSIMO - FX 1"
23/07/23;"OPR6627";20;"-22.8415780000";"-43.2792860000";"AVENIDA BRAZ DE PINA PROXIMO AO Nº 181 - SENTIDO GALEAO - FX 2"
23/07/23;"RID4845";20;"-23.0036630000";"-43.3246000000";"AVENIDA AFONSO ARINOS DE MELO FRANCO PROXIMO A AVENIDA DAS AMERICAS - SENTIDO SANTA CRUZ - FX 1"
23/07/23;"BEY0615";20;"-22.9537020000";"-43.3757780000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 3300 - SENTIDO RECREIO - FX 2"
23/07/23;"EEM9426";44;"-22.9212400000";"-43.3702380000";"ESTRADA MARECHAL MIGUEL SALAZAR MENDES DE MORAES PROXIMO AO Nº 291 - SENTIDO LINHA AMARELA - FX 2"
23/07/23;"LOG6842";39;"-22.9340040000";"-43.3724830000";"ESTRADA DOS BANDEIRANTES PROXIMO AO Nº 1099 - SENTIDO RECREIO - FX 4"
23/07/23;"KIM3C66";69;"-23.0000690000";"-43.3555950000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 4093 - SENTIDO SAO CONRADO - FX 2 PISTA CENTRAL"
23/07/23;"QUK3075";47;"-22.9729180000";"-43.3982440000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 3500 - SENTIDO RIOCENTRO - FX 1 PISTA LATERAL"
23/07/23;"RKL3679";60;"-23.0156490000";"-43.4708920000";"AVENIDA DAS AMERICAS PROXIMO AO Nº 16401 - SENTIDO SAO CONRADO - FX 2 PISTA CENTRAL"
23/07/23;"WNT3611";29;"-22.9732370000";"-43.3709890000";"AVENIDA EMBAIXADOR ABELARDO BUENO PROXIMO AO Nº 1111 - SENTIDO RIOCENTRO - FX 2 PISTA CENTRAL"
